mode: atomic
webook/internal/repository/code.go:25.62,29.2 1 0
webook/internal/repository/code.go:31.102,33.2 1 0
webook/internal/repository/code.go:35.104,37.2 1 0
webook/internal/repository/code.go:39.105,41.2 1 0
webook/internal/repository/interactive.go:31.107,33.2 1 1
webook/internal/repository/interactive.go:35.127,37.16 2 1
webook/internal/repository/interactive.go:37.16,39.3 1 0
webook/internal/repository/interactive.go:40.2,41.31 2 1
webook/internal/repository/interactive.go:41.31,47.3 1 2
webook/internal/repository/interactive.go:48.2,48.17 1 1
webook/internal/repository/interactive.go:50.101,58.2 1 1
webook/internal/repository/interactive.go:60.102,62.16 2 2
webook/internal/repository/interactive.go:62.16,64.3 1 0
webook/internal/repository/interactive.go:65.2,65.48 1 2
webook/internal/repository/interactive.go:68.102,70.16 2 2
webook/internal/repository/interactive.go:70.16,72.3 1 0
webook/internal/repository/interactive.go:73.2,73.39 1 2
webook/internal/repository/interactive.go:76.91,78.16 2 3
webook/internal/repository/interactive.go:78.16,80.3 1 0
webook/internal/repository/interactive.go:81.2,82.48 2 3
webook/internal/repository/interactive.go:84.105,86.16 2 2
webook/internal/repository/interactive.go:86.16,88.3 1 0
webook/internal/repository/interactive.go:89.2,89.51 1 2
webook/internal/repository/interactive.go:92.109,94.16 2 2
webook/internal/repository/interactive.go:94.16,96.3 1 1
webook/internal/repository/interactive.go:98.2,98.22 1 1
webook/internal/repository/interactive.go:98.22,100.3 1 0
webook/internal/repository/interactive.go:103.2,104.16 2 1
webook/internal/repository/interactive.go:104.16,106.3 1 0
webook/internal/repository/interactive.go:108.2,115.12 2 1
webook/internal/repository/interactive.go:115.12,117.16 2 1
webook/internal/repository/interactive.go:117.16,119.4 1 0
webook/internal/repository/interactive.go:122.2,122.18 1 1
webook/internal/repository/interactive.go:124.114,127.13 2 2
webook/internal/repository/interactive.go:128.11,129.19 1 1
webook/internal/repository/interactive.go:130.29,131.20 1 1
webook/internal/repository/interactive.go:132.10,133.20 1 0
webook/internal/repository/interactive.go:137.117,139.13 2 2
webook/internal/repository/interactive.go:140.11,141.19 1 0
webook/internal/repository/interactive.go:142.29,143.20 1 2
webook/internal/repository/interactive.go:144.10,145.20 1 0
webook/internal/repository/ranking.go:19.57,24.2 1 0
webook/internal/repository/ranking.go:26.94,31.2 3 0
webook/internal/repository/ranking.go:32.85,34.16 2 0
webook/internal/repository/ranking.go:34.16,36.3 1 0
webook/internal/repository/ranking.go:37.2,38.16 2 0
webook/internal/repository/ranking.go:38.16,40.3 1 0
webook/internal/repository/ranking.go:40.8,43.3 1 0
webook/internal/repository/user.go:28.79,33.2 1 0
webook/internal/repository/user.go:34.81,36.2 1 0
webook/internal/repository/user.go:37.100,40.2 2 0
webook/internal/repository/user.go:41.93,44.16 2 0
webook/internal/repository/user.go:44.16,46.3 1 0
webook/internal/repository/user.go:49.2,49.34 1 0
webook/internal/repository/user.go:49.34,51.17 2 0
webook/internal/repository/user.go:51.17,54.14 1 0
webook/internal/repository/user.go:54.14,56.5 1 0
webook/internal/repository/user.go:58.4,59.29 2 0
webook/internal/repository/user.go:63.3,69.13 2 0
webook/internal/repository/user.go:69.13,71.4 1 0
webook/internal/repository/user.go:73.3,73.16 1 0
webook/internal/repository/user.go:77.2,77.27 1 0
webook/internal/repository/user.go:79.92,81.2 1 0
webook/internal/repository/user.go:83.45,95.2 1 0
webook/internal/repository/user.go:97.45,111.2 1 0
webook/internal/repository/user.go:113.100,116.2 2 0
webook/internal/repository/user.go:118.102,121.2 2 0
webook/internal/repository/cache/article.go:26.62,28.2 1 0
webook/internal/repository/cache/article.go:30.88,32.16 2 0
webook/internal/repository/cache/article.go:32.16,34.3 1 0
webook/internal/repository/cache/article.go:35.2,37.21 3 0
webook/internal/repository/cache/article.go:40.84,42.16 2 0
webook/internal/repository/cache/article.go:42.16,44.3 1 0
webook/internal/repository/cache/article.go:45.2,45.78 1 0
webook/internal/repository/cache/article.go:48.91,50.16 2 0
webook/internal/repository/cache/article.go:50.16,52.3 1 0
webook/internal/repository/cache/article.go:53.2,55.21 3 0
webook/internal/repository/cache/article.go:58.87,60.16 2 0
webook/internal/repository/cache/article.go:60.16,62.3 1 0
webook/internal/repository/cache/article.go:63.2,63.78 1 0
webook/internal/repository/cache/article.go:66.100,68.16 2 0
webook/internal/repository/cache/article.go:68.16,70.3 1 0
webook/internal/repository/cache/article.go:71.2,73.22 3 0
webook/internal/repository/cache/article.go:76.107,77.35 1 0
webook/internal/repository/cache/article.go:77.35,80.3 1 0
webook/internal/repository/cache/article.go:81.2,82.74 2 0
webook/internal/repository/cache/article.go:85.80,87.2 1 0
webook/internal/repository/cache/article.go:89.56,91.2 1 0
webook/internal/repository/cache/article.go:93.60,95.2 1 0
webook/internal/repository/cache/article.go:97.76,99.16 2 0
webook/internal/repository/cache/article.go:99.16,101.3 1 0
webook/internal/repository/cache/article.go:102.2,102.20 1 0
webook/internal/repository/cache/article.go:106.56,108.2 1 0
webook/internal/repository/cache/interactive.go:39.65,41.2 1 3
webook/internal/repository/cache/interactive.go:48.62,50.2 1 15
webook/internal/repository/cache/interactive.go:52.104,54.16 2 3
webook/internal/repository/cache/interactive.go:54.16,56.3 1 0
webook/internal/repository/cache/interactive.go:57.2,57.20 1 3
webook/internal/repository/cache/interactive.go:57.20,59.3 1 1
webook/internal/repository/cache/interactive.go:61.2,62.16 2 2
webook/internal/repository/cache/interactive.go:62.16,64.3 1 0
webook/internal/repository/cache/interactive.go:66.2,67.16 2 2
webook/internal/repository/cache/interactive.go:67.16,69.3 1 0
webook/internal/repository/cache/interactive.go:71.2,72.16 2 2
webook/internal/repository/cache/interactive.go:72.16,74.3 1 0
webook/internal/repository/cache/interactive.go:76.2,80.8 1 2
webook/internal/repository/cache/interactive.go:83.114,90.2 2 3
webook/internal/repository/cache/interactive.go:92.96,94.2 1 3
webook/internal/repository/cache/interactive.go:96.96,98.2 1 2
webook/internal/repository/cache/interactive.go:100.99,102.2 1 2
webook/internal/repository/cache/interactive.go:104.87,106.2 1 2
webook/internal/repository/cache/interactive.go:108.90,110.2 1 0
webook/internal/repository/cache/local_ranking.go:18.42,24.2 1 0
webook/internal/repository/cache/local_ranking.go:26.93,31.2 4 0
webook/internal/repository/cache/local_ranking.go:32.84,34.29 2 0
webook/internal/repository/cache/local_ranking.go:34.29,36.3 1 0
webook/internal/repository/cache/local_ranking.go:37.2,37.31 1 0
webook/internal/repository/cache/local_ranking.go:40.89,42.2 1 0
webook/internal/repository/cache/redis_ranking.go:16.62,18.2 1 0
webook/internal/repository/cache/redis_ranking.go:19.93,21.16 2 0
webook/internal/repository/cache/redis_ranking.go:21.16,23.3 1 0
webook/internal/repository/cache/redis_ranking.go:24.2,24.62 1 0
webook/internal/repository/cache/redis_ranking.go:26.84,28.16 2 0
webook/internal/repository/cache/redis_ranking.go:28.16,30.3 1 0
webook/internal/repository/cache/redis_ranking.go:31.2,33.22 3 0
webook/internal/repository/cache/redis_ranking.go:35.42,37.2 1 0
webook/internal/repository/cache/user.go:27.48,32.2 1 0
webook/internal/repository/cache/user.go:34.82,37.16 3 0
webook/internal/repository/cache/user.go:37.16,39.3 1 0
webook/internal/repository/cache/user.go:40.2,42.18 3 0
webook/internal/repository/cache/user.go:45.75,47.16 2 0
webook/internal/repository/cache/user.go:47.16,49.3 1 0
webook/internal/repository/cache/user.go:50.2,51.53 2 0
webook/internal/repository/cache/user.go:54.70,57.2 2 0
webook/internal/repository/cache/user.go:60.72,64.2 2 0
webook/internal/repository/cache/user.go:66.47,68.2 1 0
webook/internal/repository/dao/init.go:9.36,11.2 1 1
webook/internal/repository/dao/interactive.go:105.52,107.2 1 1
webook/internal/repository/dao/interactive.go:109.118,111.25 2 1
webook/internal/repository/dao/interactive.go:111.25,114.17 3 2
webook/internal/repository/dao/interactive.go:114.17,116.4 1 0
webook/internal/repository/dao/interactive.go:117.3,125.5 1 2
webook/internal/repository/dao/interactive.go:128.2,129.43 2 1
webook/internal/repository/dao/interactive.go:129.43,131.3 1 2
webook/internal/repository/dao/interactive.go:132.2,132.17 1 1
webook/internal/repository/dao/interactive.go:134.100,135.69 1 1
webook/internal/repository/dao/interactive.go:135.69,137.28 2 1
webook/internal/repository/dao/interactive.go:137.28,139.18 2 2
webook/internal/repository/dao/interactive.go:139.18,141.5 1 0
webook/internal/repository/dao/interactive.go:143.3,143.13 1 1
webook/internal/repository/dao/interactive.go:147.100,149.69 2 2
webook/internal/repository/dao/interactive.go:149.69,157.17 2 2
webook/internal/repository/dao/interactive.go:157.17,159.4 1 0
webook/internal/repository/dao/interactive.go:160.3,165.97 1 2
webook/internal/repository/dao/interactive.go:169.100,171.69 2 2
webook/internal/repository/dao/interactive.go:171.69,179.17 2 2
webook/internal/repository/dao/interactive.go:179.17,181.4 1 0
webook/internal/repository/dao/interactive.go:182.3,185.11 1 2
webook/internal/repository/dao/interactive.go:189.89,198.2 2 5
webook/internal/repository/dao/interactive.go:200.103,202.69 2 2
webook/internal/repository/dao/interactive.go:202.69,204.17 2 2
webook/internal/repository/dao/interactive.go:204.17,206.4 1 0
webook/internal/repository/dao/interactive.go:207.3,212.100 1 2
webook/internal/repository/dao/interactive.go:216.100,220.2 3 1
webook/internal/repository/dao/interactive.go:222.125,226.2 3 2
webook/internal/repository/dao/interactive.go:228.131,232.2 3 2
webook/internal/repository/dao/user.go:35.38,39.2 1 0
webook/internal/repository/dao/user.go:56.67,61.49 5 0
webook/internal/repository/dao/user.go:61.49,63.42 2 0
webook/internal/repository/dao/user.go:63.42,65.4 1 0
webook/internal/repository/dao/user.go:67.2,67.12 1 0
webook/internal/repository/dao/user.go:69.86,73.2 3 0
webook/internal/repository/dao/user.go:74.79,78.2 3 0
webook/internal/repository/dao/user.go:79.86,83.2 3 0
webook/internal/repository/dao/user.go:84.78,92.22 3 0
webook/internal/repository/dao/user.go:92.22,94.3 1 0
webook/internal/repository/dao/user.go:95.2,95.22 1 0
webook/internal/repository/dao/user.go:95.22,97.3 1 0
webook/internal/repository/dao/user.go:98.2,98.21 1 0
webook/internal/repository/dao/user.go:98.21,100.3 1 0
webook/internal/repository/dao/user.go:101.2,101.19 1 0
webook/internal/repository/dao/user.go:101.19,103.3 1 0
webook/internal/repository/dao/user.go:104.2,104.19 1 0
webook/internal/repository/dao/user.go:104.19,106.3 1 0
webook/internal/repository/dao/user.go:107.2,110.16 3 0
webook/internal/repository/dao/user.go:110.16,112.3 1 0
webook/internal/repository/dao/user.go:113.2,113.12 1 0
webook/internal/repository/dao/user.go:116.88,120.2 3 0
webook/internal/service/article.go:29.119,35.2 1 0
webook/internal/service/article.go:37.105,39.2 1 0
webook/internal/service/article.go:40.92,42.21 2 0
webook/internal/service/article.go:42.21,44.3 1 0
webook/internal/service/article.go:44.8,46.3 1 0
webook/internal/service/article.go:49.85,52.2 1 0
webook/internal/service/article.go:86.95,89.2 2 0
webook/internal/service/article.go:91.87,94.2 2 0
webook/internal/service/article.go:96.113,98.2 1 0
webook/internal/service/article.go:100.89,102.2 1 0
webook/internal/service/article.go:104.103,108.16 2 0
webook/internal/service/article.go:108.16,110.13 1 0
webook/internal/service/article.go:110.13,114.17 2 0
webook/internal/service/article.go:114.17,116.5 1 0
webook/internal/service/article.go:120.2,120.17 1 0
webook/internal/service/code.go:29.85,34.2 1 0
webook/internal/service/code.go:36.84,41.16 3 0
webook/internal/service/code.go:41.16,43.3 1 0
webook/internal/service/code.go:46.2,47.16 2 0
webook/internal/service/code.go:47.16,53.3 1 0
webook/internal/service/code.go:55.2,55.12 1 0
webook/internal/service/code.go:57.104,59.2 1 0
webook/internal/service/code.go:61.48,63.2 1 0
webook/internal/service/interactive.go:24.86,28.2 1 1
webook/internal/service/interactive.go:30.126,32.2 1 1
webook/internal/service/interactive.go:33.100,35.2 1 3
webook/internal/service/interactive.go:37.98,39.2 1 2
webook/internal/service/interactive.go:41.104,43.2 1 2
webook/internal/service/interactive.go:45.101,47.2 1 2
webook/internal/service/interactive.go:49.119,57.21 2 2
webook/internal/service/interactive.go:57.21,59.17 2 2
webook/internal/service/interactive.go:59.17,61.4 1 0
webook/internal/service/interactive.go:62.3,62.13 1 2
webook/internal/service/interactive.go:64.2,64.21 1 2
webook/internal/service/interactive.go:64.21,66.17 2 2
webook/internal/service/interactive.go:66.17,68.4 1 0
webook/internal/service/interactive.go:69.3,69.13 1 2
webook/internal/service/interactive.go:71.2,71.21 1 2
webook/internal/service/interactive.go:71.21,73.17 2 2
webook/internal/service/interactive.go:73.17,75.4 1 0
webook/internal/service/interactive.go:76.3,76.13 1 2
webook/internal/service/interactive.go:78.2,79.16 2 2
webook/internal/service/interactive.go:79.16,81.3 1 0
webook/internal/service/interactive.go:82.2,84.25 3 2
webook/internal/service/ranking.go:27.125,34.55 1 0
webook/internal/service/ranking.go:34.55,36.4 1 0
webook/internal/service/ranking.go:40.61,42.16 2 0
webook/internal/service/ranking.go:42.16,44.3 1 0
webook/internal/service/ranking.go:45.2,45.42 1 0
webook/internal/service/ranking.go:48.81,55.95 4 0
webook/internal/service/ranking.go:55.95,57.3 1 0
webook/internal/service/ranking.go:59.2,59.6 1 0
webook/internal/service/ranking.go:59.6,61.17 2 0
webook/internal/service/ranking.go:61.17,63.4 1 0
webook/internal/service/ranking.go:64.3,64.25 1 0
webook/internal/service/ranking.go:64.25,65.9 1 0
webook/internal/service/ranking.go:67.3,67.98 1 0
webook/internal/service/ranking.go:67.98,69.4 1 0
webook/internal/service/ranking.go:70.3,71.17 2 0
webook/internal/service/ranking.go:71.17,73.4 1 0
webook/internal/service/ranking.go:74.3,74.36 1 0
webook/internal/service/ranking.go:74.36,77.37 3 0
webook/internal/service/ranking.go:77.37,79.26 2 0
webook/internal/service/ranking.go:79.26,81.6 1 0
webook/internal/service/ranking.go:81.11,83.6 1 0
webook/internal/service/ranking.go:86.3,87.145 2 0
